university,version,attribute,count,nan_count,nan_perc
warwick,2024-05-18,link,258,0,0.0
warwick,2024-05-18,title,258,0,0.0
warwick,2024-05-18,study_level,258,0,0.0
warwick,2024-05-18,qualification,258,0,0.0
warwick,2024-05-18,university_title,258,0,0.0
warwick,2024-05-18,description,258,0,0.0
warwick,2024-05-18,about,258,0,0.0
warwick,2024-05-18,entry_requirements,258,0,0.0
warwick,2024-05-18,locations,258,0,0.0
warwick,2024-05-18,start_dates,258,0,0.0
warwick,2024-05-18,application_dates,258,258,100.0
warwick,2024-05-18,tuitions,258,0,0.0
warwick,2024-05-18,tuition__study_mode,392,17,4.336734693877551
warwick,2024-05-18,tuition__duration,392,0,0.0
warwick,2024-05-18,tuition__student_category,392,392,100.0
warwick,2024-05-18,tuition__fee,392,392,100.0
warwick,2024-05-18,language_requirements,253,5,1.937984496124031
warwick,2024-05-18,language_requirement__language,848,0,0.0
warwick,2024-05-18,language_requirement__test,848,0,0.0
warwick,2024-05-18,language_requirement__score,848,0,0.0
warwick,2024-05-18,modules,168,90,34.883720930232556
warwick,2024-05-18,module__type,1649,0,0.0
warwick,2024-05-18,module__title,1649,0,0.0
warwick,2024-05-18,module__link,1649,1634,99.09035779260158
